policy,state,action,guard_decision,next_state,unsafe_if_accepted,preservation_check
approval,Idle,request,allowed,NeedApproval,no,pass
approval,Idle,approve,blocked,Idle,no,not_applicable_blocked
approval,Idle,execute,blocked,Idle,yes,not_applicable_blocked
approval,Idle,reject,blocked,Idle,no,not_applicable_blocked
approval,Idle,malformed,blocked,Idle,no,not_applicable_blocked
approval,NeedApproval,request,blocked,NeedApproval,no,not_applicable_blocked
approval,NeedApproval,approve,allowed,CanExecute,no,pass
approval,NeedApproval,execute,blocked,NeedApproval,yes,not_applicable_blocked
approval,NeedApproval,reject,allowed,Terminal,no,pass
approval,NeedApproval,malformed,blocked,NeedApproval,no,not_applicable_blocked
approval,CanExecute,request,blocked,CanExecute,no,not_applicable_blocked
approval,CanExecute,approve,blocked,CanExecute,no,not_applicable_blocked
approval,CanExecute,execute,allowed,Terminal,no,pass
approval,CanExecute,reject,blocked,CanExecute,no,not_applicable_blocked
approval,CanExecute,malformed,blocked,CanExecute,no,not_applicable_blocked
approval,Terminal,request,blocked,Terminal,no,not_applicable_blocked
approval,Terminal,approve,blocked,Terminal,no,not_applicable_blocked
approval,Terminal,execute,blocked,Terminal,yes,not_applicable_blocked
approval,Terminal,reject,blocked,Terminal,no,not_applicable_blocked
approval,Terminal,malformed,blocked,Terminal,no,not_applicable_blocked
deployment,Draft,open_pr,allowed,AwaitingChecks,no,pass
deployment,Draft,ci_passed,blocked,Draft,no,not_applicable_blocked
deployment,Draft,human_approve,blocked,Draft,no,not_applicable_blocked
deployment,Draft,deploy_prod,blocked,Draft,yes,not_applicable_blocked
deployment,Draft,rollback,blocked,Draft,no,not_applicable_blocked
deployment,Draft,malformed,blocked,Draft,no,not_applicable_blocked
deployment,AwaitingChecks,open_pr,blocked,AwaitingChecks,no,not_applicable_blocked
deployment,AwaitingChecks,ci_passed,allowed,AwaitingApproval,no,pass
deployment,AwaitingChecks,human_approve,blocked,AwaitingChecks,no,not_applicable_blocked
deployment,AwaitingChecks,deploy_prod,blocked,AwaitingChecks,yes,not_applicable_blocked
deployment,AwaitingChecks,rollback,blocked,AwaitingChecks,no,not_applicable_blocked
deployment,AwaitingChecks,malformed,blocked,AwaitingChecks,no,not_applicable_blocked
deployment,AwaitingApproval,open_pr,blocked,AwaitingApproval,no,not_applicable_blocked
deployment,AwaitingApproval,ci_passed,blocked,AwaitingApproval,no,not_applicable_blocked
deployment,AwaitingApproval,human_approve,allowed,ReadyToDeploy,no,pass
deployment,AwaitingApproval,deploy_prod,blocked,AwaitingApproval,yes,not_applicable_blocked
deployment,AwaitingApproval,rollback,blocked,AwaitingApproval,no,not_applicable_blocked
deployment,AwaitingApproval,malformed,blocked,AwaitingApproval,no,not_applicable_blocked
deployment,ReadyToDeploy,open_pr,blocked,ReadyToDeploy,no,not_applicable_blocked
deployment,ReadyToDeploy,ci_passed,blocked,ReadyToDeploy,no,not_applicable_blocked
deployment,ReadyToDeploy,human_approve,blocked,ReadyToDeploy,no,not_applicable_blocked
deployment,ReadyToDeploy,deploy_prod,allowed,Deployed,no,pass
deployment,ReadyToDeploy,rollback,blocked,ReadyToDeploy,no,not_applicable_blocked
deployment,ReadyToDeploy,malformed,blocked,ReadyToDeploy,no,not_applicable_blocked
deployment,Deployed,open_pr,blocked,Deployed,no,not_applicable_blocked
deployment,Deployed,ci_passed,blocked,Deployed,no,not_applicable_blocked
deployment,Deployed,human_approve,blocked,Deployed,no,not_applicable_blocked
deployment,Deployed,deploy_prod,blocked,Deployed,yes,not_applicable_blocked
deployment,Deployed,rollback,allowed,RolledBack,no,pass
deployment,Deployed,malformed,blocked,Deployed,no,not_applicable_blocked
deployment,RolledBack,open_pr,blocked,RolledBack,no,not_applicable_blocked
deployment,RolledBack,ci_passed,blocked,RolledBack,no,not_applicable_blocked
deployment,RolledBack,human_approve,blocked,RolledBack,no,not_applicable_blocked
deployment,RolledBack,deploy_prod,blocked,RolledBack,yes,not_applicable_blocked
deployment,RolledBack,rollback,blocked,RolledBack,no,not_applicable_blocked
deployment,RolledBack,malformed,blocked,RolledBack,no,not_applicable_blocked
disclosure,Clean,readPublic,allowed,Clean,no,pass
disclosure,Clean,readPrivate,allowed,Private,no,pass
disclosure,Clean,redact,blocked,Clean,no,not_applicable_blocked
disclosure,Clean,sendInternal,allowed,Clean,no,pass
disclosure,Clean,sendExternal,allowed,Clean,no,pass
disclosure,Clean,clear,allowed,Clean,no,pass
disclosure,Clean,malformed,blocked,Clean,no,not_applicable_blocked
disclosure,Private,readPublic,allowed,Private,no,pass
disclosure,Private,readPrivate,allowed,Private,no,pass
disclosure,Private,redact,allowed,Redacted,no,pass
disclosure,Private,sendInternal,allowed,Private,no,pass
disclosure,Private,sendExternal,blocked,Private,yes,not_applicable_blocked
disclosure,Private,clear,allowed,Clean,no,pass
disclosure,Private,malformed,blocked,Private,no,not_applicable_blocked
disclosure,Redacted,readPublic,allowed,Redacted,no,pass
disclosure,Redacted,readPrivate,allowed,Private,no,pass
disclosure,Redacted,redact,blocked,Redacted,no,not_applicable_blocked
disclosure,Redacted,sendInternal,allowed,Redacted,no,pass
disclosure,Redacted,sendExternal,allowed,Redacted,no,pass
disclosure,Redacted,clear,allowed,Clean,no,pass
disclosure,Redacted,malformed,blocked,Redacted,no,not_applicable_blocked
